marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	32754581	R1OJ6MR34QJS29	B00LHTRE1G	342569608	Kaspersky Internet Security 2015 1 User, 1 year	Software	5	0	0	N	Y	So far so good. No indication of 2015 on package but 2013 ...	So far so good.  No indication of 2015 on package but 2013 * tradesmark?	2015-02-18
US	17283532	R1E7MNXZ3PRR6S	B007RFZDL2	704354395	Streets and Trips 2013 with GPS	Software	5	0	0	N	Y	Love it!	Love it!	2015-06-25
US	45085302	R2L7UA7BO8SDVB	B000HCZ8EO	185150928	Microsoft Office Home and Student 2007 [Old Version]	Software	4	0	0	N	Y	Solid quality.	Does what it's supposed to do.	2015-08-30
US	13515362	R1L1Q7XPGADERL	B00LG242A0	784681048	Windows 7 Professional SP1 64bit (OEM) System Builder DVD 1 Pack (For Refurbished PC Installation)	Software	5	0	0	N	Y	Authentic	Exactly what I expected. This a second purchase of the same item.	2015-06-03
US	50120605	R3921IDEQ4H4S	B00MYXTCGY	39020414	TurboTax Deluxe Fed + Efile + State	Software	5	2	16	Y	N	Still a great, low-cost solution	"Rather than paying higher fees at tax preparation sites, I've used TurboTax for the past 15 years.  This year's TurboTax proves to be no less capable than previous versions, with very easy-to-follow questions and opportunities to claim multiple deductions.  Our situation is slightly atypical in that we do claim a minor tax credit for hosting an exchange student, but it's merely a matter of researching the correct form and you'll find it in TurboTax accordingly.  For your more run-of-the-mill deductions, TurboTax takes it easily in stride.    They also back their product by covering any errors should they arise and they update their software frequently if any changes do arise in forms/calculations.  They also facilitate importing wage/earning forms by utilizing your employer's ID along with your SSN to locate and extract the relevant data, saving you the hassle of having to manually enter it yourself.    Overall, it's a great low-cost tax preparation solution if you don't want to sift through stacks of paper and fill everything out by hand or pay higher fees at a tax preparation site.    EDIT 1/23/2015    One Amazon customer pointed out that this year's software does have limitations, and I quote:    \\""No full schedule C,  No schedule D,  Can't enter K-1 income,  No schedule E,  No schedule F.\\""    If these schedules apply to you, then please be aware that you have to pay more for it or you may wish to get alternative software or go to H&R Block.  Or do it the \\""old-fashioned way\\"" by hand.  Cheers!"	2015-01-23
US	19928588	RP0QGCW0VFNLP	B0014X2UAK	950445278	iWork '09	Software	5	0	0	N	Y	Great Software. It works perfectly with my old Macbook	Great Software.  It works perfectly with my old Macbook.  Thank you very much.	2015-01-10
US	14168300	R30HDL66DZXY4I	B00P6U8C5Y	871602905	Block Financial H&R Block Tax Software 14 Premium + State	Software	3	0	0	N	Y	Three Stars	We are going back to Turbo Tax.	2015-06-15
US	51085944	R357Q4FG722U4O	B000AOTWG4	351210909	Typecase 2001 Truetype and Postscript Type 1 - Fonts for Macintosh	Software	4	0	0	N	Y	Interesting Collection	A collection of fonts from a questionable manufacturer that was sued out of business by the type industry years ago.<br />There are, however some unique fonts on the CD that are worth a look.<br /><br />This product is not for serious Typophiles, however.  The are flaws in these fonts that preclude professional use.	2014-12-10
US	16386172	R3RUVKESTTINYE	B008MR37XK	946756009	Laplink PCmover Ultimate 10 - 1 Use	Software	4	0	1	N	N	PC mover has worked for me in the past but not this time.	PC mover has worked for me in the past but not this time.	2015-08-04
US	46215793	RGDLH1HK52H8W	B001DMBWXS	87376166	Adobe Photoshop Elements 7 [OLD VERSION]	Software	1	0	1	N	Y	Not the best - have had programs I like better	never did figure out how to use it; not user friendly	2015-02-04
US	34317632	R2Y5HKILTQ5XJ	B003YJ5DKG	470091820	Quicken Deluxe 2011 - [Old Version]	Software	3	0	0	N	N	Three Stars	Problems with downloading Bank of America files	2015-01-09
