marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	52228204	R6JEUXCZYD1LW	B006WXK874	903586425	The Friendly Swede (TM) 23 Items Accessories Bundle Kit for Apple iPod touch 8GB 32GB 64GB (2011 New 4th Generation) 4 4G in Retail Packaging	Mobile_Electronics	5.0	5.0	5.0	N	N	Huge Set, Perfect for Younger Kids and Moderate Use	Really, how can you beat the price on this set. There is no need to reiterate all the stuff that comes with it but it really does. I have to say that you can't expect everything to be in top quality condition. Some of it is mediocre. But everything is pretty good. My daughter has an iPod Touch 4th generation and had a blast going through everything and playing around. She loves swapping out all the cases and using the retractable charging cable. The earbuds are okay, they have some static and don't seem to be too even in each ear so I'm sure they won't last a long time. The fish cable holder is cute and the belt clip holster is what made her the happiest. The styluses are metal and have a cord to keep them plugged into the headphone jack so that you always have one handy. The screen protectors fit but we quickly took them off. My daughter didn't like the feel of them - although that was not the fault of the screen protectors.<br /><br />A note about the cases that did bother my daughter - they were very hard to get on initially but softened up a little with use. However, they are not cut well enough to dock the iPod in a dock and charge it properly. They seem to hold it just a little out of full contact although with some playing around, I was able to get it to sit properly.<br /><br />So for the price, for a younger child or the budget conscious person, this is a set packed with opportunities.<br /><br />I was provided a set for evaluation and review.	2014-04-10
US	42423228	R91HUPZ68UU3Y	B000KKXQO2	346261240	Stereo Wire Harness OEM Ford Explorer 98 99 00 01 (car radio wiring installation parts)	Mobile_Electronics	5.0	0.0	0.0	N	Y	Five Stars	Works fine.	2015-04-07
US	1195910	R1W8JTTB0H7P7N	B00QERR5CY	82850235	iXCC Multi pack Lightning cable	Mobile_Electronics	5.0	0.0	0.0	N	Y	5 stars!	I bought a Two cables,  one for me one for my precious ppl.  We both satisfied, Good Quality and nice price.	2015-08-28
US	669519	R10Q1OVFOCUSW8	B00KW52PGA	724135610	Blueskysea Free Gift Gel Pen + G1W-C G1W PRO Car Dash Camera DVR NTK96650 Chip AR0330 Lens Capacitor Vision No Battery +Rear View Mirror Mount	Mobile_Electronics	5.0	0.0	0.0	N	Y	Satisfied	I use it every day. It's been below zero the past few weeks as low as -15 in w/o windchill in Chicago and It hasn't given me a single problem.	2015-02-26
US	12817092	RKKZ38N40QD8R	B009V8MPFK	449070809	HHI Rubber Quick Clip Case for iPod Nano 7th Generation - Black (Package include a HandHelditems Sketch Stylus Pen)	Mobile_Electronics	5.0	0.0	0.0	N	Y	Perfect	This clip fits perfectly around my nano. It stays in place when running.  I would recommend to anyone that needs a clip.	2013-12-28
US	2414632	R3GWEVXNBW8OIF	B0083004I2	191833098	QQ-Tech® 3rd Gen 4GB Waterproof MP3 Player FM Radio Big LCD Display For Swimming Water Sports (Pink)	Mobile_Electronics	4.0	0.0	0.0	N	Y	it works ...	good product ,the article  its ok ,it works perfectly  ....but my complain is about the color which  wasnt  what  i´d ordered	2013-10-26
US	22215220	R366OXDVMQVQCD	B00MIFQN0G	963359740	Precision Power Black Ice Car Amplifier - 2500 W RMS - 5000 W PMPO - 1 Channel - Class D BA5000.1D	Mobile_Electronics	5.0	7.0	9.0	N	N	Great value amp	Just bought this as an inexpensive replacement for my JL 1000/1v1 amp that died on me. I'm glad I chose this amp! Don't be fooled by the 5000 watt tag they put on it, this amp pushes my two JL audio 13w3v3-4's wired at 2 ohms with about 750watts rms each which is a plenty for those subwoofers. Although it doesn't have as many features to allow you to tune your system as the JL amp does, it certainly does the job. I ran it full tilt on my 25 minute drive to work today and it didn't even break a sweat. Not a warm spot to be found on the thing. Highly recommended for the price.	2015-03-18
US	26668480	R1HERWGIOXROD3	B008R68DFS	423148551	Patazon Black Extension Dock Extender 30pin Adapter for iPod iPhone 4 4S	Mobile_Electronics	4.0	0.0	0.0	N	Y	Works Like a Charm	Works like it should with the LifeProof Cases.  Does not stay on car charging adapter as well as should, but for the price it works perfectly	2013-07-03
US	49988183	R3J2SQH83Y0279	B008R68DFS	423148551	Patazon Black Extension Dock Extender 30pin Adapter for iPod iPhone 4 4S	Mobile_Electronics	5.0	0.0	0.0	N	Y	Does the job!	This product works very well - does exactly what I needed :)	2015-06-27
US	51985064	R312OBPD6YGNS3	B002FP9JIC	224727870	Minisuit PURPLE BUBBLE Transparent Silicone Case Skin Protector Cover for Apple iPod Touch 2 2G 2nd Generation 8GB 16GB 32GB and Free Screen Protector-Many Colors Available	Mobile_Electronics	5.0	0.0	0.0	N	Y	Stylish cover	I live in a house full of boys so I'm always looking for something stylish to keep my stuff separate from the boys' stuff.  This was perfect.	2014-02-03
US	14760657	R3IZVZ16FRH2QM	B00DR3NI4C	533016143	eForCity Black Hard / White and Black Zebra Skin Hybrid Case with FREE Reusable Screen Protector compatible with Apple iPod touch 4th Generation	Mobile_Electronics	5.0	0.0	0.0	N	Y	So Cute	Cheap, fits perfectly, and the charge and headphones go in no problem. The buttons are easy to press and I love how there is a protecter for the changer and headphone jack to prevent dust from going in. And it fits in my back pocket nicely.	2013-10-19
